,Pavadinimas,Ketvirtis,Vertė
136,Vėjo elektrinės,2014-Q4,0.185
137,Kiti atsinaujinantys energijos ištekliai,2014-Q4,0.114
138,"     Elektrinės, kūrenamos biomase    ",2014-Q4,0.081
139,"     Elektrinės, kūrenamos biodujomis",2014-Q4,0.0
140,     Saulės energijos elektrinės,2014-Q4,0.007
141,     Atliekų deginimo elektrinės,2014-Q4,0.026
142,Baterijų technologijos,2014-Q4,0.0
143,Komercinis sistemos balansas (-Importas/+eksportas),2014-Q4,-2.157
144,Elektros energijos gamyba (Neto),2015-Q1,1.083
145,Šiluminės elektrinės,2015-Q1,0.467
146,Kruonio HAE,2015-Q1,0.15
147,Hidroelektrinės,2015-Q1,0.127
148,Vėjo elektrinės,2015-Q1,0.217
149,Kiti atsinaujinantys energijos ištekliai,2015-Q1,0.121
150,"     Elektrinės, kūrenamos biomase    ",2015-Q1,0.085
151,"     Elektrinės, kūrenamos biodujomis",2015-Q1,0.0
152,     Saulės energijos elektrinės,2015-Q1,0.009
153,     Atliekų deginimo elektrinės,2015-Q1,0.027
154,Baterijų technologijos,2015-Q1,0.0
155,Komercinis sistemos balansas (-Importas/+eksportas),2015-Q1,-1.946
156,Elektros energijos gamyba (Neto),2015-Q2,1.151
157,Šiluminės elektrinės,2015-Q2,0.629
158,Kruonio HAE,2015-Q2,0.15
159,Hidroelektrinės,2015-Q2,0.099
160,Vėjo elektrinės,2015-Q2,0.159
161,Kiti atsinaujinantys energijos ištekliai,2015-Q2,0.115
162,"     Elektrinės, kūrenamos biomase    ",2015-Q2,0.064
163,"     Elektrinės, kūrenamos biodujomis",2015-Q2,0.0
164,     Saulės energijos elektrinės,2015-Q2,0.028
165,     Atliekų deginimo elektrinės,2015-Q2,0.023
166,Baterijų technologijos,2015-Q2,0.0
167,Komercinis sistemos balansas (-Importas/+eksportas),2015-Q2,-1.621
168,Elektros energijos gamyba (Neto),2015-Q3,1.162
169,Šiluminės elektrinės,2015-Q3,0.687
170,Kruonio HAE,2015-Q3,0.189
171,Hidroelektrinės,2015-Q3,0.042
172,Vėjo elektrinės,2015-Q3,0.136
173,Kiti atsinaujinantys energijos ištekliai,2015-Q3,0.108
174,"     Elektrinės, kūrenamos biomase    ",2015-Q3,0.061
175,"     Elektrinės, kūrenamos biodujomis",2015-Q3,0.0
176,     Saulės energijos elektrinės,2015-Q3,0.028
177,     Atliekų deginimo elektrinės,2015-Q3,0.019
178,Baterijų technologijos,2015-Q3,0.0
179,Komercinis sistemos balansas (-Importas/+eksportas),2015-Q3,-1.676
180,Elektros energijos gamyba (Neto),2015-Q4,1.203
181,Šiluminės elektrinės,2015-Q4,0.537
182,Kruonio HAE,2015-Q4,0.177
183,Hidroelektrinės,2015-Q4,0.078
184,Vėjo elektrinės,2015-Q4,0.295
185,Kiti atsinaujinantys energijos ištekliai,2015-Q4,0.115
186,"     Elektrinės, kūrenamos biomase    ",2015-Q4,0.085
187,"     Elektrinės, kūrenamos biodujomis",2015-Q4,0.0
188,     Saulės energijos elektrinės,2015-Q4,0.008
189,     Atliekų deginimo elektrinės,2015-Q4,0.023
190,Baterijų technologijos,2015-Q4,0.0
191,Komercinis sistemos balansas (-Importas/+eksportas),2015-Q4,-1.965
192,Elektros energijos gamyba (Neto),2016-Q1,1.022
193,Šiluminės elektrinės,2016-Q1,0.337
194,Kruonio HAE,2016-Q1,0.159
195,Hidroelektrinės,2016-Q1,0.146
196,Vėjo elektrinės,2016-Q1,0.268
197,Kiti atsinaujinantys energijos ištekliai,2016-Q1,0.113
198,"     Elektrinės, kūrenamos biomase    ",2016-Q1,0.067454
199,"     Elektrinės, kūrenamos biodujomis",2016-Q1,0.019727
200,     Saulės energijos elektrinės,2016-Q1,0.009
201,     Atliekų deginimo elektrinės,2016-Q1,0.017
202,Baterijų technologijos,2016-Q1,0.0
203,Komercinis sistemos balansas (-Importas/+eksportas),2016-Q1,-2.21
204,Elektros energijos gamyba (Neto),2016-Q2,0.893
205,Šiluminės elektrinės,2016-Q2,0.329
206,Kruonio HAE,2016-Q2,0.144
207,Hidroelektrinės,2016-Q2,0.103
208,Vėjo elektrinės,2016-Q2,0.21
209,Kiti atsinaujinantys energijos ištekliai,2016-Q2,0.106
210,"     Elektrinės, kūrenamos biomase    ",2016-Q2,0.043235
211,"     Elektrinės, kūrenamos biodujomis",2016-Q2,0.022035
212,     Saulės energijos elektrinės,2016-Q2,0.03
213,     Atliekų deginimo elektrinės,2016-Q2,0.011
214,Baterijų technologijos,2016-Q2,0.0
215,Komercinis sistemos balansas (-Importas/+eksportas),2016-Q2,-1.96
216,Elektros energijos gamyba (Neto),2016-Q3,0.827
